objid,objectid,ori,hali,vali,name,kuerzel,geometry
1,1,0.0,1,2,Affoltern,111,POINT (2680575.8 1253034.9)
2,2,0.0,1,2,Seebach,119,POINT (2683072 1253148.4)
3,3,0.0,1,2,Saatlen,121,POINT (2684968.5 1251835.4)
4,4,0.0,1,2,Höngg,101,POINT (2679781.5 1251349.1)
5,5,0.0,1,2,Wipkingen,102,POINT (2681888.8 1250165.9)
6,6,0.0,1,2,Unterstrass,61,POINT (2683088.2 1250214.5)
7,7,0.0,1,2,Oerlikon,115,POINT (2683558.2 1251430.1)
8,8,0.0,1,2,Schwamendingen-Mitte,122,POINT (2685146.8 1250814.2)
9,9,0.0,1,2,Hirzenbach,123,POINT (2686411 1250360.4)
10,10,0.0,1,2,Altstetten,92,POINT (2678582 1249177.1)
11,11,0.0,1,2,Escher Wyss,52,POINT (2681256.5 1249323)
12,12,0.0,1,2,Hard,44,POINT (2681094.5 1248447.6)
13,13,0.0,1,2,Gewerbeschule,51,POINT (2682456 1248690.8)
14,14,0.0,1,2,Langstrasse,42,POINT (2682277.8 1247993.8)
15,15,0.0,1,2,Oberstrass,63,POINT (2684141.8 1249485)
16,16,0.0,1,2,Fluntern,71,POINT (2684838.8 1248528.6)
17,17,0.0,1,2,Hottingen,72,POINT (2686378.8 1248042.4)
18,18,0.0,1,2,Albisrieden,91,POINT (2679019.5 1247215.8)
19,19,0.0,1,2,Sihlfeld,34,POINT (2680981 1247491.2)
20,20,0.0,1,2,Werd,41,POINT (2682242 1247319.6)
21,21,0.0,1,2,City,14,POINT (2682802.8 1247305.5)
22,22,0.0,1,2,Lindenhof,13,POINT (2683172 1247497.1)
23,23,0.0,1,2,Rathaus,11,POINT (2683519.8 1247376.4)
24,24,0.0,1,2,Hochschulen,12,POINT (2683541 1246659.5)
25,25,0.0,1,2,Friesenberg,33,POINT (2680289.8 1245387.5)
26,26,0.0,1,2,Alt-Wiedikon,31,POINT (2681432 1246261.4)
27,27,0.0,1,2,Enge,24,POINT (2682652 1246079.6)
28,28,0.0,1,2,Leimbach,23,POINT (2681034 1242843.6)
29,29,0.0,1,2,Wollishofen,21,POINT (2682634.5 1243804)
30,30,0.0,1,2,Seefeld,81,POINT (2684027.8 1245292.2)
31,31,0.0,1,2,Mühlebach,82,POINT (2684330.5 1246010.4)
32,32,0.0,1,2,Weinegg,83,POINT (2685559.2 1245266.2)
33,33,0.0,1,2,Hirslanden,73,POINT (2685317 1246382.4)
34,34,0.0,1,2,Witikon,74,POINT (2687462.8 1246027.6)
