year,Female,Male
1993,1691,1709
1994,1717,1766
1995,1652,1767
1996,1622,1808
1997,1621,1838
1998,1696,1759
1999,1655,1834
2000,1681,1896
2001,1736,1736
2002,1738,1815
2003,1731,1898
2004,1859,1932
2005,1890,2005
2006,1975,2054
2007,2008,2111
2008,2101,2248
2009,2244,2395
2010,2240,2348
2011,2263,2497
2012,2255,2423
2013,2434,2486
2014,2549,2596
2015,2478,2713
2016,2462,2714
2017,2543,2697
2018,2526,2686
2019,2544,2590
2020,2465,2668
2021,2586,2675
2022,2204,2334
2023,2202,2273
2024,2092,2253
2025,2211,2324
