year,Foreign,Swiss
1993,1313,2087
1994,1394,2089
1995,1441,1978
1996,1470,1960
1997,1516,1943
1998,1581,1874
1999,1545,1944
2000,1550,2027
2001,1410,2062
2002,1481,2072
2003,1407,2222
2004,1421,2370
2005,1396,2499
2006,1392,2637
2007,1329,2790
2008,1380,2969
2009,1467,3172
2010,1443,3145
2011,1451,3309
2012,1539,3139
2013,1625,3295
2014,1752,3393
2015,1773,3418
2016,1688,3488
2017,1833,3407
2018,1822,3390
2019,1761,3373
2020,1683,3450
2021,1666,3595
2022,1521,3017
2023,1564,2911
2024,1515,2830
2025,1544,2991
