district_code,district_name,births
11,Rathaus,664
12,Hochschulen,96
13,Lindenhof,248
14,City,234
21,Wollishofen,6136
23,Leimbach,1819
24,Enge,4030
31,Alt-Wiedikon,6885
33,Friesenberg,2660
34,Sihlfeld,8589
41,Werd,1960
42,Langstrasse,3663
44,Hard,4476
51,Gewerbeschule,3521
52,Escher Wyss,1686
61,Unterstrass,8176
63,Oberstrass,3395
71,Fluntern,2521
72,Hottingen,3645
73,Hirslanden,2513
74,Witikon,2947
81,Seefeld,1919
82,Mühlebach,1861
83,Weinegg,1619
91,Albisrieden,6758
92,Altstetten,11074
101,Höngg,7467
102,Wipkingen,6375
111,Affoltern,8278
115,Oerlikon,7417
119,Seebach,8207
121,Saatlen,2541
122,Schwamendingen-Mitte,3766
123,Hirzenbach,4373
