year,district_code,district_name,births
1993,11,Rathaus,26
1993,12,Hochschulen,4
1993,13,Lindenhof,9
1993,14,City,5
1993,21,Wollishofen,159
1993,23,Leimbach,36
1993,24,Enge,90
1993,31,Alt-Wiedikon,163
1993,33,Friesenberg,73
1993,34,Sihlfeld,232
1993,41,Werd,45
1993,42,Langstrasse,126
1993,44,Hard,147
1993,51,Gewerbeschule,101
1993,52,Escher Wyss,15
1993,61,Unterstrass,199
1993,63,Oberstrass,98
1993,71,Fluntern,60
1993,72,Hottingen,88
1993,73,Hirslanden,40
1993,74,Witikon,74
1993,81,Seefeld,52
1993,82,Mühlebach,35
1993,83,Weinegg,43
1993,91,Albisrieden,153
1993,92,Altstetten,239
1993,101,Höngg,166
1993,102,Wipkingen,152
1993,111,Affoltern,167
1993,115,Oerlikon,182
1993,119,Seebach,180
1993,121,Saatlen,61
1993,122,Schwamendingen-Mitte,95
1993,123,Hirzenbach,85
1994,11,Rathaus,17
1994,12,Hochschulen,1
1994,13,Lindenhof,4
1994,14,City,6
1994,21,Wollishofen,120
1994,23,Leimbach,39
1994,24,Enge,82
1994,31,Alt-Wiedikon,182
1994,33,Friesenberg,55
1994,34,Sihlfeld,226
1994,41,Werd,56
1994,42,Langstrasse,136
1994,44,Hard,155
1994,51,Gewerbeschule,127
1994,52,Escher Wyss,18
1994,61,Unterstrass,197
1994,63,Oberstrass,76
1994,71,Fluntern,60
1994,72,Hottingen,106
1994,73,Hirslanden,49
1994,74,Witikon,79
1994,81,Seefeld,44
1994,82,Mühlebach,48
1994,83,Weinegg,45
1994,91,Albisrieden,143
1994,92,Altstetten,282
1994,101,Höngg,186
1994,102,Wipkingen,188
1994,111,Affoltern,162
1994,115,Oerlikon,166
1994,119,Seebach,182
1994,121,Saatlen,52
1994,122,Schwamendingen-Mitte,100
1994,123,Hirzenbach,94
1995,11,Rathaus,18
1995,12,Hochschulen,4
1995,13,Lindenhof,11
1995,14,City,11
1995,21,Wollishofen,142
1995,23,Leimbach,37
1995,24,Enge,90
1995,31,Alt-Wiedikon,191
1995,33,Friesenberg,70
1995,34,Sihlfeld,234
1995,41,Werd,45
1995,42,Langstrasse,106
1995,44,Hard,142
1995,51,Gewerbeschule,104
1995,52,Escher Wyss,11
1995,61,Unterstrass,206
1995,63,Oberstrass,78
1995,71,Fluntern,40
1995,72,Hottingen,79
1995,73,Hirslanden,73
1995,74,Witikon,83
1995,81,Seefeld,43
1995,82,Mühlebach,59
1995,83,Weinegg,45
1995,91,Albisrieden,142
1995,92,Altstetten,273
1995,101,Höngg,153
1995,102,Wipkingen,177
1995,111,Affoltern,180
1995,115,Oerlikon,163
1995,119,Seebach,176
1995,121,Saatlen,44
1995,122,Schwamendingen-Mitte,79
1995,123,Hirzenbach,110
1996,11,Rathaus,26
1996,12,Hochschulen,2
1996,13,Lindenhof,11
1996,14,City,12
1996,21,Wollishofen,150
1996,23,Leimbach,30
1996,24,Enge,91
1996,31,Alt-Wiedikon,180
1996,33,Friesenberg,66
1996,34,Sihlfeld,223
1996,41,Werd,44
1996,42,Langstrasse,105
1996,44,Hard,155
1996,51,Gewerbeschule,111
1996,52,Escher Wyss,15
