year,age_group,births
1993,Under 20,73
1993,20-24,526
1993,25-29,1125
1993,30-34,1110
1993,35-39,488
1993,40+,78
1994,Under 20,96
1994,20-24,542
1994,25-29,1114
1994,30-34,1150
1994,35-39,492
1994,40+,89
1995,Under 20,73
1995,20-24,538
1995,25-29,1099
1995,30-34,1156
1995,35-39,468
1995,40+,85
1996,Under 20,87
1996,20-24,562
1996,25-29,1059
1996,30-34,1114
1996,35-39,526
1996,40+,82
1997,Under 20,77
1997,20-24,545
1997,25-29,1028
1997,30-34,1143
1997,35-39,559
1997,40+,107
1998,Under 20,71
1998,20-24,547
1998,25-29,960
1998,30-34,1186
1998,35-39,586
1998,40+,105
1999,Under 20,105
1999,20-24,561
1999,25-29,959
1999,30-34,1154
1999,35-39,603
1999,40+,107
2000,Under 20,86
2000,20-24,556
2000,25-29,963
2000,30-34,1228
2000,35-39,600
2000,40+,144
2001,Under 20,70
2001,20-24,527
2001,25-29,879
2001,30-34,1183
2001,35-39,679
2001,40+,134
2002,Under 20,66
2002,20-24,507
2002,25-29,913
2002,30-34,1195
2002,35-39,733
2002,40+,139
2003,Under 20,60
2003,20-24,501
2003,25-29,878
2003,30-34,1210
2003,35-39,815
2003,40+,165
2004,Under 20,52
2004,20-24,454
2004,25-29,912
2004,30-34,1347
2004,35-39,858
2004,40+,168
2005,Under 20,59
2005,20-24,403
2005,25-29,939
2005,30-34,1392
2005,35-39,888
2005,40+,214
2006,Under 20,58
2006,20-24,418
2006,25-29,899
2006,30-34,1474
2006,35-39,976
2006,40+,204
2007,Under 20,49
2007,20-24,374
2007,25-29,842
2007,30-34,1503
2007,35-39,1092
2007,40+,259
2008,Under 20,43
2008,20-24,357
2008,25-29,864
2008,30-34,1618
2008,35-39,1179
2008,40+,288
2009,Under 20,48
2009,20-24,352
2009,25-29,905
2009,30-34,1754
2009,35-39,1282
2009,40+,298
2010,Under 20,27
2010,20-24,332
2010,25-29,837
2010,30-34,1823
2010,35-39,1294
2010,40+,275
2011,Under 20,27
2011,20-24,349
2011,25-29,864
2011,30-34,1860
2011,35-39,1343
2011,40+,317
2012,Under 20,37
2012,20-24,306
2012,25-29,792
2012,30-34,1870
2012,35-39,1358
2012,40+,315
2013,Under 20,28
2013,20-24,295
2013,25-29,867
2013,30-34,1861
2013,35-39,1526
2013,40+,342
2014,Under 20,30
2014,20-24,301
2014,25-29,842
2014,30-34,2034
2014,35-39,1571
2014,40+,367
2015,Under 20,29
2015,20-24,277
2015,25-29,852
2015,30-34,2005
2015,35-39,1686
2015,40+,342
2016,Under 20,17
2016,20-24,244
2016,25-29,840
2016,30-34,2015
2016,35-39,1658
2016,40+,402
2017,Under 20,19
2017,20-24,233
2017,25-29,815
2017,30-34,1985
2017,35-39,1769
2017,40+,416
2018,Under 20,19
2018,20-24,218
2018,25-29,770
2018,30-34,1997
2018,35-39,1783
2018,40+,425
2019,Under 20,19
2019,20-24,184
2019,25-29,724
2019,30-34,2040
2019,35-39,1724
2019,40+,440
2020,Under 20,13
2020,20-24,166
2020,25-29,674
2020,30-34,2070
2020,35-39,1756
2020,40+,448
2021,Under 20,13
2021,20-24,164
2021,25-29,641
2021,30-34,2121
2021,35-39,1857
2021,40+,461
2022,Under 20,6
2022,20-24,133
2022,25-29,522
2022,30-34,1816
2022,35-39,1606
2022,40+,453
2023,Under 20,11
2023,20-24,149
2023,25-29,482
2023,30-34,1771
2023,35-39,1614
2023,40+,442
2024,Under 20,15
2024,20-24,156
2024,25-29,473
2024,30-34,1592
2024,35-39,1674
2024,40+,433
2025,Under 20,13
2025,20-24,138
2025,25-29,453
2025,30-34,1695
2025,35-39,1730
2025,40+,501
