district_code,district_name,births
11,Rathaus,247
12,Hochschulen,34
13,Lindenhof,98
14,City,101
21,Wollishofen,2798
23,Leimbach,938
24,Enge,1781
31,Alt-Wiedikon,3179
33,Friesenberg,968
34,Sihlfeld,4030
41,Werd,814
42,Langstrasse,1886
44,Hard,2635
51,Gewerbeschule,1749
52,Escher Wyss,778
61,Unterstrass,3183
63,Oberstrass,1296
71,Fluntern,1107
72,Hottingen,1432
73,Hirslanden,951
74,Witikon,1282
81,Seefeld,892
82,Mühlebach,854
83,Weinegg,752
91,Albisrieden,2915
92,Altstetten,6277
101,Höngg,2906
102,Wipkingen,2790
111,Affoltern,4310
115,Oerlikon,4132
119,Seebach,4934
121,Saatlen,1221
122,Schwamendingen-Mitte,2410
123,Hirzenbach,2643
