district_code,district_name,births
11,Rathaus,417
12,Hochschulen,62
13,Lindenhof,150
14,City,133
21,Wollishofen,3338
23,Leimbach,881
24,Enge,2249
31,Alt-Wiedikon,3706
33,Friesenberg,1692
34,Sihlfeld,4559
41,Werd,1146
42,Langstrasse,1777
44,Hard,1841
51,Gewerbeschule,1772
52,Escher Wyss,908
61,Unterstrass,4993
63,Oberstrass,2099
71,Fluntern,1414
72,Hottingen,2213
73,Hirslanden,1562
74,Witikon,1665
81,Seefeld,1027
82,Mühlebach,1007
83,Weinegg,867
91,Albisrieden,3843
92,Altstetten,4797
101,Höngg,4561
102,Wipkingen,3585
111,Affoltern,3968
115,Oerlikon,3285
119,Seebach,3273
121,Saatlen,1320
122,Schwamendingen-Mitte,1356
123,Hirzenbach,1730
