year,Foreign,Swiss
1993,27.72,30.58
1994,27.63,30.8
1995,27.83,30.96
1996,27.72,31.1
1997,28.28,31.23
1998,28.49,31.44
1999,28.32,31.34
2000,28.46,31.65
2001,28.72,31.92
2002,29.17,31.8
2003,29.22,32.3
2004,29.8,32.23
2005,29.94,32.4
2006,30.29,32.37
2007,30.8,32.75
2008,31.19,32.83
2009,31.33,32.83
2010,31.61,32.84
2011,31.61,33.02
2012,31.88,33.07
2013,32.19,33.13
2014,32.42,33.13
2015,32.33,33.36
2016,32.65,33.47
2017,33.0,33.45
2018,32.99,33.6
2019,33.09,33.73
2020,33.44,33.72
2021,33.55,33.83
2022,33.64,34.13
2023,33.99,33.95
2024,33.81,34.3
2025,34.04,34.37
