"EreignisDatJahr","QuarCd","QuarLang","AlterVMutterCd","SexCd","HerkunftCd","HerkunftMutterCd","LebensfaehigkeitCd","AnzGebuWir"
1993,"011","Rathaus","19","2","1","1","J",1
1993,"011","Rathaus","21","1","2","2","J",1
1993,"011","Rathaus","21","2","2","2","J",1
1993,"011","Rathaus","22","1","2","2","J",1
1993,"011","Rathaus","27","2","1","1","J",2
1993,"011","Rathaus","27","2","2","2","J",1
1993,"011","Rathaus","29","1","1","1","J",1
1993,"011","Rathaus","29","1","2","2","J",1
1993,"011","Rathaus","29","2","2","2","J",1
1993,"011","Rathaus","30","1","1","1","J",1
1993,"011","Rathaus","31","1","1","1","J",1
1993,"011","Rathaus","33","1","1","1","J",1
1993,"011","Rathaus","34","1","1","1","J",1
1993,"011","Rathaus","34","2","1","1","J",1
1993,"011","Rathaus","34","2","2","2","J",1
1993,"011","Rathaus","35","2","1","1","J",1
1993,"011","Rathaus","36","1","1","1","J",2
1993,"011","Rathaus","37","2","1","1","J",1
1993,"011","Rathaus","39","1","1","1","J",2
1993,"011","Rathaus","39","2","1","1","J",1
1993,"011","Rathaus","40","2","1","1","J",1
1993,"011","Rathaus","41","1","1","1","J",1
1993,"011","Rathaus","43","1","1","1","J",1
1993,"012","Hochschulen","18","2","2","2","J",1
1993,"012","Hochschulen","33","2","1","1","J",1
1993,"012","Hochschulen","34","1","1","1","J",1
1993,"012","Hochschulen","36","2","1","1","J",1
1993,"013","Lindenhof","26","2","1","1","J",1
1993,"013","Lindenhof","27","1","2","2","J",1
1993,"013","Lindenhof","31","2","1","1","J",1
1993,"013","Lindenhof","32","1","1","1","J",2
1993,"013","Lindenhof","32","2","1","2","J",1
1993,"013","Lindenhof","34","1","1","1","J",1
1993,"013","Lindenhof","35","2","1","1","J",1
1993,"013","Lindenhof","36","1","1","1","J",1
1993,"014","City","30","2","1","1","J",2
1993,"014","City","30","2","2","2","J",1
1993,"014","City","36","1","2","2","J",1
1993,"014","City","42","2","1","1","J",1
1993,"021","Wollishofen","19","1","2","2","J",1
1993,"021","Wollishofen","19","2","1","1","J",1
1993,"021","Wollishofen","20","1","1","1","J",1
1993,"021","Wollishofen","20","1","2","2","J",1
1993,"021","Wollishofen","20","2","1","1","J",1
